Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,146.74500,146.14500,600 kHz,-DUP,FM,0AN Edison,None,100.0 Hz,100.0 Hz,023,Both N,Off,31 12982 447.00 NE Furnas Edison KD0AN,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,147.18000,147.78000,600 kHz,+DUP,FM,0DX Plains,None,100.0 Hz,100.0 Hz,023,Both N,Off,20 3996 456.00 KS Meade Plains WK0DX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,147.12000,147.72000,600 kHz,+DUP,FM,0HJ Phillipsburg,None,100.0 Hz,100.0 Hz,023,Both N,Off,20 3986 482.00 KS Phillips Phillipsburg AA0HJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,147.21000,147.81000,600 kHz,+DUP,FM,0HS Hot Springs,T Sql,146.2 Hz,146.2 Hz,023,Both N,Off,46 3647 420.00 SD Fall River Hot Springs K0HS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,146.62500,146.02500,600 kHz,-DUP,FM,0KY Kearney,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,31 27 513.00 NE Buffalo Kearney W0KY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,146.61000,146.01000,600 kHz,-DUP,FM,0QS Hugoton,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,20 18554 415.00 KS Stevens Hugoton W0QS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,146.85000,146.25000,600 kHz,-DUP,FM,0VL Lexington,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,31 12983 461.00 NE Dawson Lexington N0VL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,145.13000,144.53000,600 kHz,-DUP,FM,5BC Albuquerque BCFD Fire Statio,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,35 15613 513.00 NM Bernalillo Albuquerque BCFD Fire Station 35 NM5BC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,145.15000,144.55000,600 kHz,-DUP,FM,5BC Tijeras Cedro Peak,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,35 15614 522.00 NM Bernalillo Tijeras Cedro Peak NM5BC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,145.19000,144.59000,600 kHz,-DUP,DV,5EC Los Alamos Pajarito Mountain,None,100.0 Hz,100.0 Hz,023,Both N,Off,35 18232 434.00 NM Los Alamos Los Alamos Pajarito Mountain NM5EC,,,CQCQCQ,NM5EC  C,NM5EC  G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
11,145.17500,144.57500,600 kHz,-DUP,FM,5EM Cuba Eureka Mesa,T Sql,156.7 Hz,156.7 Hz,023,Both N,Off,35 15615 434.00 NM Sandoval Cuba Eureka Mesa NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,147.02000,147.62000,600 kHz,+DUP,FM,5EM Santa Fe Tesuque Peak,Tone,141.3 Hz,141.3 Hz,023,Both N,Off,35 15631 432.00 NM Santa Fe Santa Fe Tesuque Peak NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,147.04000,147.64000,600 kHz,+DUP,FM,5EM Santa Rosa Moon Ranch,Tone,141.3 Hz,141.3 Hz,023,Both N,Off,35 15634 521.00 NM Guadalupe Santa Rosa Moon Ranch NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
14,147.38000,147.98000,600 kHz,+DUP,FM,5GU Albuquerque,None,100.0 Hz,100.0 Hz,023,Both N,Off,35 24 523.00 NM Bernalillo Albuquerque N5GU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
